listing_id	listing_name	location_address	season_month	products	share_size	share_itemsinsharebox	share_availabledate	share_paymentoption	deliverpickup_method	specialproductionmethods	acceptedpayment	FNAP
200010	JH Grassfed Beef	"PO Box 63, Cave Creek, Arizona 85327"	Year-round	Eggs;Chicken;;Soap and/or body care products;Beef and Lamb;	unlimited ordering;	Customers order specific items in advance of each delivery;		payment on delivery or pickup;	Deliver directly to customer's homes;Deliver to customers' workplaces;Deliver to one or more neighborhood sites;	"Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Pasture-raised/free-range animals;Humane treatment of animals;Fair labor practices, living wage, fair trade, etc.;"		
200011	North Scottsdale Organics	", Scottsdale, Arizona"	Year-round		membership;	CSA decides product based on supply availability;	2014-01-01	Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;Customers pick up from CSA farm;	Organic (USDA Certified);No antibiotics;No hormones;No pesticides;	Cash;Personal Checks;Debit card/Credit card;Paypal;Paypal;	
200012	Verde Valley CSA	"134 Painted Cliffs Dr., Sedona, Arizona 86336"	May to October	"Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Eggs;Honey;Nuts;"	Half shares;	CSA decides product based on supply availability;	2014-05-21	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;	Organic (USDA Certified);No pesticides;	Cash;Personal Checks;paypal;paypal;	
200013	Blue House Farm	"5000 Pescadero Creek Rd, Pescadero, California 94060"	April to December	"Apples;Cherries (sweet, tart, etc.);Figs;Pears;Plums (black, green, red, etc.);;Artichoke;Arugula;Asparagus;Beans, other (lima, etc.);Bok Choy;Broccoli;Broccolini/baby broccoli;Brussels sprouts;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Kale;Kohlrabi;Leeks;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (plum, round, etc.);Turnip greens;;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Cut flowers;Dry beans;Eggs;Honey;"	Half shares;	CSA decides product based on supply availability;	2014-05-22	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;	Personal Checks;Debit card/Credit card;	
200014	Conlan Ranches California / True Grass Farms  Organic/Animal Welfare Approved Listing	"P.O. Box 412, Valley Ford, California 94972"		"Currants;;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Eggs;Chicken;Quail;;Beef/veal (sausage);Beef/veal (steaks, roasts);Bison (ground);Elk;Goat;Lamb (chops, roasts);Lamb (ground);Pork (bacon);Pork (ham);Rabbit;;Soap and/or body care products;"	Half shares;	Determined by production;		One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver to one or more neighborhood sites;	"Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Pasture-raised/free-range animals;Humane treatment of animals;Fair labor practices, living wage, fair trade, etc.;"	Cash;Personal Checks;Debit card/Credit card;	
200015	Contented Acres Produce	"1507 Lucerne Ave., Gustine, California 95322"										
200016	DeepSeeded Community Farm	"PO Box 4380, Arcata, California 95518"	April to December	"Apples;Figs;Pears;;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccolini/baby broccoli;Cauliflower;Collard Greens;Cucumbers;Garlic;Green beans;Kale;Kohlrabi;Leeks;Mixed leafy greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);;Cut flowers;Eggs;"	Half shares;	CSA decides product based on supply availability;	2014-04-15	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;	Cash;Personal Checks;	
200017	Fairview Gardens Farm	"598 N. Fairview Avenue, Goleta, California 93117"	Year-round	"Apricots;Avocados;Blueberries;Cantaloupes;Gooseberries;Mangos, papayas, pineapples and other tropical fruit;Peaches (yellow, white, etc.);Pears;Plums (black, green, red, etc.);;Artichoke;Arugula;Asparagus;Beets;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Green onions/scallions;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mache/lamb’s lettuce;Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Rutabaga;Shallots;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Cut flowers;Dry beans;Eggs;Fresh and/or dried herbs;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-01-01	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;Reduced subscription/membership fees in exchange for labor;	Deliver directly to customer's homes;Customers pick up from CSA farm;Deliver to one or more neighborhood sites;	Organic (USDA Certified);	Cash;Personal Checks;Debit card/Credit card;	SNAP;
200018	FarmBox LA	", Beverly Hills, California"	Year-round	"Apples;Apricots;Avocados;Blackberries, raspberries;Blueberries;Cantaloupes;Cherries (sweet, tart, etc.);Currants;Dates;Figs;Gooseberries;Grapefruit (red, white, etc.);Grapes (black, green, red, etc.);Kiwi;Lemons, limes;Mangos, papayas, pineapples and other tropical fruit;Nectarines;Oranges, clementine, mandarins, tangerines, tangelos;Peaches (yellow, white, etc.);Pears;Plums (black, green, red, etc.);Strawberries;Watermelons;;Artichoke;Arugula;Asparagus;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Green onions/scallions;Kale;Kohlrabi;Leeks;Mache/lamb’s lettuce;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Rutabaga;Shallots;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Baked goods: breads, pies, etc.;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Coffee and/or tea;Cut flowers;Dairy products: milk, cheese, etc.;Eggs;Non-shell fish onlyMussels;Shrimp/prawns;Tuna;Non-shell fish only;;Fresh and/or dried herbs;Grains and/or flour;Honey;Juices and/or non-alcoholic ciders;Mushrooms;Nuts;Pet food;Chicken;Quail;;Beef/veal (steaks, roasts);Elk;Lamb (chops, roasts);Lamb (ground);Rabbit;;Soap and/or body care products;"		Customers order specific items in advance of each delivery;	2014-01-01	Payment made 3 days prior to each delivery;	Deliver to customers' workplaces;	Organic (USDA Certified);	Debit card/Credit card;	
200019	Fogline Farm	"7447 Glen Haven Rd, Soquel, California 95073"	May to November	"Apples;Grapes (black, green, red, etc.);Kiwi;Oranges, clementine, mandarins, tangerines, tangelos;Pears;;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Broccolini/baby broccoli;Cabbage;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Kale;Kohlrabi;Mixed leafy greens;Mizuna;Okra;Peanuts;Peas;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Rutabaga;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Eggs;"	Half shares;	CSA decides product based on supply availability;	2014-01-01	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;	Organic (USDA Certified);	Cash;Personal Checks;Debit card/Credit card;	
200020	Green Valley CSA	"13024 Green Valley Rd, Sebastopol, California 95472"	May to December	"Apples;Apricots;Cantaloupes;Cherries (sweet, tart, etc.);Figs;Grapes (black, green, red, etc.);Kiwi;Mangos, papayas, pineapples and other tropical fruit;Oranges, clementine, mandarins, tangerines, tangelos;Peaches (yellow, white, etc.);Pears;Plums (black, green, red, etc.);Watermelons;;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Leeks;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Rutabaga;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Cut flowers;Fresh and/or dried herbs;"	Full shares;Half shares;One and a half shares;	CSA decides product based on supply availability;Customers order specific items in advance of each delivery;	2014-05-06	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver to customers' workplaces;Customers pick up from CSA farm;Deliver to one or more neighborhood sites;	Organic (USDA Certified);	Cash;Personal Checks;	SNAP;
200021	HelloHarvest	"2211 state st, Santa Barbara, California 93101"	Year-round	"Baked goods: breads, pies, etc.;Cut flowers;Eggs;"	Full shares;Half shares;	CSA decides product based on supply availability;		Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;Deliver to customers' workplaces;Customers pick up from CSA farm;	Organic (USDA Certified);No pesticides;		
200022	High Ground Organics	"521 Harkins Slough Rd, Watsonville, California 95076"	Year-round	"Apples;Blueberries;Cantaloupes;Currants;Kiwi;Mangos, papayas, pineapples and other tropical fruit;Pears;;Arugula;Asparagus;Beans (string);Beans, other (lima, etc.);Beets;Broccoli;Broccolini/baby broccoli;Brussels sprouts;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mixed leafy greens;Mustard Greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Turnip greens;Turnips;;Cut flowers;Honey;"	"Full shares;Half shares;quarter shares, 4-delivery shares;"	CSA decides product based on supply availability;	2014-01-01	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;Customers pick up from CSA farm;	Organic (USDA Certified);No pesticides;	Personal Checks;Debit card/Credit card;	
200023	J R Organics CSA	"31030 Rodriguez Road, Escondido, California 92026"	Year-round	"Apples;Apricots;Blueberries;Cantaloupes;Cherries (sweet, tart, etc.);Figs;Gooseberries;Mangos, papayas, pineapples and other tropical fruit;Pears;Plums (black, green, red, etc.);Strawberries;Watermelons;;Artichoke;Arugula;Beets;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mixed leafy greens;Mizuna;Mustard Greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Shallots;Soybeans;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (plum, round, etc.);;Fresh and/or dried herbs;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-01-01	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;	"Organic (USDA Certified);No pesticides;Fair labor practices, living wage, fair trade, etc.;"	Cash;Personal Checks;Debit card/Credit card;	
200024	Marin Sun Farms	"1040 Bryant Street, San Francisco, California 94103"	Year-round	"Eggs;Pet food;Chicken;Pheasant;Quail;Turkey;;Beef/veal (sausage);Beef/veal (steaks, roasts);Bison (ground);Goat;Lamb (chops, roasts);Lamb (ground);Lamb (sausage);Pork (ham);Rabbit;;"	Half shares;	CSA decides product based on supply availability;Customers order specific items in advance of each delivery;	2014-01-01	Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;	Organic (USDA Certified);No antibiotics;No hormones;Pasture-raised/free-range animals;Humane treatment of animals;Grass Fed;	Debit card/Credit card;	
200025	McGrath Family Farm CSA	"1012 West Ventura Blvd., Camarillo, California 93010"	March to November	"Apples;Blueberries;Cantaloupes;Dates;Gooseberries;Grapes (black, green, red, etc.);Oranges, clementine, mandarins, tangerines, tangelos;Pears;Plums (black, green, red, etc.);;Arugula;Asparagus;Beans (string);Beans, other (lima, etc.);Beets;Broccoli;Broccolini/baby broccoli;Brussels sprouts;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Kale;Kohlrabi;Leeks;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Parsnips;Peanuts;Peppers, hot;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Turnip greens;Turnips;;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Cut flowers;Dry beans;Honey;"	Half shares;	CSA decides product based on supply availability;	2015-03-03	One advance payment prior to the beginning of the delivery season;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);Certified Organic;	Cash;Personal Checks;Debit card/Credit card;	
200026	Nature's Touch Nursery & Harvest	"225 South Main Street, Templeton, California 93465"	Year-round	"Apples;Apricots;Avocados;Blackberries, raspberries;Blueberries;Cantaloupes;Cherries (sweet, tart, etc.);Currants;Dates;Figs;Gooseberries;Grapefruit (red, white, etc.);Grapes (black, green, red, etc.);Honeydew melons;Kiwi;Lemons, limes;Mangos, papayas, pineapples and other tropical fruit;Nectarines;Oranges, clementine, mandarins, tangerines, tangelos;Peaches (yellow, white, etc.);Pears;Plums (black, green, red, etc.);Strawberries;Watermelons;;allall;;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Dairy products: milk, cheese, etc.;Dry beans;Eggs;Fresh and/or dried herbs;Grains and/or flour;Honey;Juices and/or non-alcoholic ciders;Mushrooms;Nuts;allall;;Beef/veal (cold cuts);Beef/veal (sausage);Beef/veal (steaks, roasts);Bison (ground);Bison (steaks, roasts);Elk;Goat;Lamb (chops, roasts);Lamb (ground);Lamb (sausage);Pork (bacon);Pork (cold cuts);Pork (ham);Rabbit;;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-07-29	One advance payment prior to the beginning of the delivery season;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);	Cash;Personal Checks;Debit card/Credit card;	SNAP;
